更新时间,#genre#
20260516 22:08:56,url


freetv_other,#genre#
东森超视,rtmp://f13h.mine.nu/sat/tv331
中视,rtmp://f13h.mine.nu/sat/tv091
佛山公共,https://t.freetv.fun/live/fo-shan-gong-gong.m3u8
佛山综合,https://t.freetv.fun/live/fo-shan-zong-he.m3u8
嘉佳卡通,https://t.freetv.fun/live/jia-jia-qia-tong-1.m3u8
嘉佳卡通,https://t.freetv.fun/live/jia-jia-qia-tong.m3u8
岭南戏曲,https://t.freetv.fun/live/ling-nan-xi-qu-1.m3u8
岭南戏曲,https://t.freetv.fun/live/ling-nan-xi-qu.m3u8
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-1.m3u8
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu.m3u8
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-1.m3u8
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er.m3u8
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-1.m3u8
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi.m3u8
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen.m3u8
广东民生,https://t.freetv.fun/live/yan-dong-min-sheng-1.m3u8
广东民生,https://t.freetv.fun/live/yan-dong-min-sheng.m3u8
广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-1.m3u8
广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang.m3u8
广东经济科教,https://t.freetv.fun/live/yan-dong-jing-ji-ke-jiao.m3u8
广东综艺,https://t.freetv.fun/live/yan-dong-zong-yi.m3u8
广州新闻,https://t.freetv.fun/live/yan-zhou-xin-wen-1.m3u8
广州新闻,https://t.freetv.fun/live/yan-zhou-xin-wen.m3u8
广州竞赛,https://t.freetv.fun/live/yan-zhou-jing-sai.m3u8
深圳都市,https://t.freetv.fun/live/shen-zhen-du-shi-1.m3u8
深圳都市,https://t.freetv.fun/live/shen-zhen-du-shi.m3u8
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来体育,rtmp://f13h.mine.nu:1935/sat/tv721
